RA,ano_nascimento,idade_atual,genero,faixa_etaria,ano_ingresso,status,instituicao_ensino,fase_2022,fase_2023,fase_2024,pedra_2022,pedra_2023,pedra_2024,inde_2022,inde_2023,inde_2024,inde_media,classificacao_geral_2022,classificacao_geral_2023,classificacao_geral_2024,classificacao_geral_media,autoavaliacao_2022,autoavaliacao_2023,autoavaliacao_2024,autoavaliacao_media,engajamento_2022,engajamento_2023,engajamento_2024,engajamento_media,psicossocial_2022,psicossocial_2023,psicossocial_2024,psicossocial_media,aprendizagem_2022,aprendizagem_2023,aprendizagem_2024,aprendizagem_media,matematica_2022,matematica_2023,matematica_2024,matematica_media,portugues_2022,portugues_2023,portugues_2024,portugues_media,ingles_2022,ingles_2023,ingles_2024,ingles_media,adequacao_nivel_2022,adequacao_nivel_2023,adequacao_nivel_2024,adequacao_nivel_media,fase_ideal_2022,fase_ideal_2023,fase_ideal_2024
RA-296,2007,18,Feminino,18+ anos,2022,Veterano,Escola Pública,3.0,,,Quartzo,,,4.665,,,4.665,839.0,,,839.0,8.8,,,8.8,3.6,,,3.6,7.5,,,7.5,2.8,,,2.8,5.7,,,5.7,2.7,,,2.7,0.2,,,0.2,5.0,,,5.0,Fase 5 (1º EM),,
RA-297,2009,16,Feminino,16-17 anos,2022,Veterano,Escola Pública,3.0,,,Ametista,,,7.478,,,7.478,324.0,,,324.0,7.1,,,7.1,7.9,,,7.9,6.3,,,6.3,6.6,,,6.6,6.3,,,6.3,5.3,,,5.3,8.2,,,8.2,10.0,,,10.0,Fase 3 (7º e 8º ano),,
RA-298,2009,16,Masculino,16-17 anos,2019,Veterano,Escola Pública | Pública,3.0,3.0,,Ágata,Agata,,6.409,6.824333333,,6.824333333,659.0,,,659.0,9.2,9.6,,9.6,6.3,8.6,,8.6,5.6,2.52,,2.52,5.2,5.5,,5.5,5.5,7.7,,7.7,4.8,4.5,,4.5,,4.2,,4.2,10.0,5.0,,5.0,Fase 3 (7º e 8º ano),Fase 4 (9° ano),
RA-299,2009,16,Feminino,16-17 anos,2021,Veterano,Rede Decisão | Privada - Programa de Apadrinhamento,3.0,4.0,5.0,Ametista,Agata,Topázio,7.278,6.796541667,8.177186956533333,7.4172428745111105,404.0,,,404.0,7.1,0.0,8.751,5.283666666666666,8.2,9.6,8.963768115999999,8.921256038666664,5.0,2.52,6.26,4.593333333333333,6.8,6.1,8.166666666666666,7.022222222222221,6.3,5.0,8.0,6.433333333333334,7.3,7.2,7.5,7.333333333333333,6.7,6.2,9.0,7.3,10.0,10.0,10.0,10.0,Fase 3 (7º e 8º ano),Fase 4 (9° ano),Fase 4 (9° ano)
RA-300,2008,17,Masculino,16-17 anos,2022,Veterano,Escola Pública | Pública,3.0,3.0,,Quartzo,Quartzo,,5.557,5.616691667,,5.616691667,781.0,,,781.0,5.4,5.0,,5.0,6.9,7.5,,7.5,6.3,2.52,,2.52,3.1,4.5,,4.5,2.7,4.5,,4.5,4.8,5.3,,5.3,1.7,3.8,,3.8,5.0,5.0,,5.0,Fase 4 (9º ano),Fase 5 (1° EM),
RA-301,2009,16,Feminino,16-17 anos,2021,Veterano,Escola Pública | Pública,3.0,4.0,4.0,Ágata,Agata,Topázio,6.802,6.760341667,8.410830701766667,7.324390789588889,554.0,,,554.0,8.8,9.2,9.168,9.056,5.8,5.4,7.4947368423333325,6.231578947444444,5.6,7.52,7.51,6.876666666666666,6.3,5.2,9.0,6.833333333333333,6.5,4.7,10.0,7.066666666666666,7.2,6.5,9.0,7.566666666666666,5.4,4.5,8.0,5.966666666666666,10.0,10.0,10.0,10.0,Fase 3 (7º e 8º ano),Fase 4 (9° ano),Fase 4 (9° ano)
RA-302,2006,19,Masculino,18+ anos,2022,Veterano,Escola Pública | Pública,3.0,5.0,,Ágata,Quartzo,,6.334,5.314333333,,5.314333333,673.0,,,673.0,9.2,0.0,,0.0,7.7,7.3,,7.3,6.9,5.0,,5.0,4.8,4.3,,4.3,4.3,4.7,,4.7,5.0,2.3,,2.3,5.0,5.8,,5.8,2.5,5.0,,5.0,Fase 6 (2º EM),Fase 7 (3° EM),
RA-303,2008,17,Masculino,16-17 anos,2021,Veterano,Escola Pública | Pública,3.0,3.0,4.0,Ágata,Quartzo,Agata,6.03,5.914291667,6.2443426900666665,6.062878119022223,723.0,,,723.0,7.5,0.0,8.751,5.416999999999999,7.2,7.3,3.9520467836666664,6.150682261222222,7.5,7.52,7.51,7.510000000000001,3.9,5.1,5.666666666666667,4.888888888888889,3.8,5.7,5.0,4.833333333333333,4.0,5.2,5.0,4.733333333333333,,4.5,7.0,7.0,5.0,5.0,5.0,5.0,Fase 4 (9º ano),Fase 5 (1° EM),Fase 6 (2° EM)
RA-304,2007,18,Masculino,18+ anos,2021,Veterano,Escola Pública | Pública,3.0,3.0,3.0,Ágata,Agata,Agata,6.355,6.241583333,6.852411484600001,6.482998272533334,667.0,,,667.0,8.8,0.0,10.002,6.267333333333333,7.7,8.8,7.826890756333333,8.108963585444444,7.5,5.0,7.51,6.669999999999999,4.3,5.7,7.166666666666667,5.722222222222222,3.0,7.0,9.0,6.333333333333333,5.5,3.7,5.5,4.8999999999999995,,6.3,7.0,7.0,5.0,5.0,2.5,4.166666666666667,Fase 5 (1º EM),Fase 5 (1° EM),Fase 6 (2° EM)
RA-305,2008,17,Masculino,16-17 anos,2021,Veterano,Escola Pública | Pública,3.0,3.0,4.0,Ágata,Agata,Agata,6.058,6.394291667,6.693026811600001,6.3817728262000015,717.0,,,717.0,7.9,0.0,8.334,5.411333333333334,6.6,8.9,7.898550724666666,7.799516908222222,7.5,7.52,6.26,7.093333333333334,4.8,5.2,4.833333333333333,4.944444444444444,2.8,5.2,3.0,3.6666666666666665,6.7,4.8,3.0,4.833333333333333,,5.7,8.5,8.5,5.0,5.0,5.0,5.0,Fase 4 (9º ano),Fase 5 (1° EM),Fase 5 (1° EM)
